,Transaction ID,Country,Amount (USD),Transaction Type,Date of Transaction,Person Involved,Industry,Destination Country,Reported by Authority,Source of Money,Money Laundering Risk Score,Shell Companies Involved,Financial Institution,Tax Haven Country
18,TX0000000019,South Africa,31263,Cryptocurrency,1/1/13 18:00,Person_2149,Luxury Goods,UK,False,Illegal,5.184847844544876,4,Bank_50,Cayman Islands
19,TX0000000020,UAE,104698,Cash Withdrawal,1/1/13 19:00,Person_8310,Construction,UK,False,Legal,3.877142002541879,5,Bank_337,Bahamas
20,TX0000000021,Switzerland,23376,Stocks Transfer,1/1/13 20:00,Person_4043,Luxury Goods,UAE,False,Legal,4.155259475208702,5,Bank_409,Bahamas
21,TX0000000022,USA,64215,Property Purchase,1/1/13 21:00,Person_6311,Oil & Gas,Singapore,True,Illegal,8.805057541995698,7,Bank_380,Switzerland
22,TX0000000023,Brazil,16544,Offshore Transfer,1/1/13 22:00,Person_9762,Luxury Goods,Switzerland,False,Legal,4.787320591752547,2,Bank_471,Luxembourg
23,TX0000000024,UK,43488,Cash Withdrawal,1/1/13 23:00,Person_5,Casinos,Singapore,False,Legal,4.396783424069936,5,Bank_490,Luxembourg
24,TX0000000025,USA,65554,Property Purchase,1/2/13 0:00,Person_587,Real Estate,USA,False,Legal,3.6668557927302308,1,Bank_209,Luxembourg
25,TX0000000026,Brazil,131351,Property Purchase,1/2/13 1:00,Person_1879,Construction,UAE,False,Legal,4.903237435297236,9,Bank_405,Panama
26,TX0000000027,UAE,77885,Stocks Transfer,1/2/13 2:00,Person_4729,Oil & Gas,Russia,False,Legal,3.7506248470193215,8,Bank_287,Luxembourg
27,TX0000000028,Russia,57109,Property Purchase,1/2/13 3:00,Person_516,Real Estate,China,False,Legal,3.7879402472321404,4,Bank_323,Luxembourg
28,TX0000000029,USA,1179587,Offshore Transfer,1/2/13 4:00,Person_160,Luxury Goods,USA,False,Legal,6.9504540902507745,7,Bank_266,Singapore
29,TX0000000030,India,148914,Offshore Transfer,1/2/13 5:00,Person_7905,Construction,Switzerland,False,Legal,3.823402549056664,9,Bank_461,Bahamas
30,TX0000000031,Brazil,90274,Property Purchase,1/2/13 6:00,Person_8714,Construction,China,False,Legal,5.41915025487508,8,Bank_38,Luxembourg
31,TX0000000032,South Africa,24336,Offshore Transfer,1/2/13 7:00,Person_5732,Arms Trade,India,False,Legal,4.997266184646209,3,Bank_494,Singapore
32,TX0000000033,UK,169898,Cash Withdrawal,1/2/13 8:00,Person_9688,Casinos,South Africa,False,Legal,5.279047611355832,7,Bank_113,Cayman Islands
33,TX0000000034,UAE,109744,Cryptocurrency,1/2/13 9:00,Person_9219,Luxury Goods,UAE,False,Legal,5.885857441477999,9,Bank_135,Bahamas
34,TX0000000035,Brazil,235442,Stocks Transfer,1/2/13 10:00,Person_9853,Real Estate,Russia,False,Legal,4.074712671030809,8,Bank_342,Bahamas
35,TX0000000036,Russia,207999,Offshore Transfer,1/2/13 11:00,Person_8363,Luxury Goods,USA,True,Legal,6.042580289921796,9,Bank_285,Singapore
36,TX0000000037,China,966232,Stocks Transfer,1/2/13 12:00,Person_4599,Construction,USA,False,Legal,4.34088238970128,6,Bank_390,Singapore
37,TX0000000038,Switzerland,1135856,Cryptocurrency,1/2/13 13:00,Person_3680,Real Estate,Singapore,False,Legal,5.014160357955411,6,Bank_343,Luxembourg
38,TX0000000039,USA,187174,Offshore Transfer,1/2/13 14:00,Person_4804,Oil & Gas,USA,False,Legal,4.793050115332986,8,Bank_118,Bahamas
39,TX0000000040,UK,323458,Cryptocurrency,1/2/13 15:00,Person_8600,Luxury Goods,China,False,Legal,5.8395880089766194,5,Bank_2,Cayman Islands
40,TX0000000041,South Africa,83037,Cash Withdrawal,1/2/13 16:00,Person_6246,Construction,China,False,Legal,5.660387811340847,7,Bank_296,Switzerland
41,TX0000000042,India,212232,Cash Withdrawal,1/2/13 17:00,Person_2936,Arms Trade,China,False,Legal,5.162661594852709,2,Bank_433,Singapore
42,TX0000000043,UK,531719,Cash Withdrawal,1/2/13 18:00,Person_4033,Real Estate,UK,False,Legal,5.447262667453817,1,Bank_45,Switzerland
43,TX0000000044,UAE,373021,Property Purchase,1/2/13 19:00,Person_2537,Casinos,Singapore,False,Legal,4.670631454849133,0,Bank_247,Cayman Islands
44,TX0000000045,Russia,36381,Cash Withdrawal,1/2/13 20:00,Person_943,Finance,China,False,Legal,4.966441490253216,6,Bank_190,Cayman Islands
45,TX0000000046,Switzerland,75658,Stocks Transfer,1/2/13 21:00,Person_479,Real Estate,China,False,Legal,5.744275728934206,3,Bank_76,Bahamas
46,TX0000000047,China,616823,Property Purchase,1/2/13 22:00,Person_21,Luxury Goods,South Africa,False,Legal,6.29146582616216,9,Bank_466,Luxembourg
47,TX0000000048,Singapore,107837,Property Purchase,1/2/13 23:00,Person_7362,Finance,South Africa,False,Legal,5.650160127362822,2,Bank_191,Luxembourg
48,TX0000000049,UAE,50857,Cash Withdrawal,1/3/13 0:00,Person_4829,Construction,China,False,Legal,4.560352838644385,0,Bank_71,Switzerland
49,TX0000000050,Russia,110326,Cash Withdrawal,1/3/13 1:00,Person_2327,Oil & Gas,South Africa,False,Legal,5.589589148553885,1,Bank_287,Bahamas
50,TX0000000051,South Africa,47053,Property Purchase,1/3/13 2:00,Person_9899,Real Estate,China,False,Legal,6.734264011321374,9,Bank_72,Singapore
51,TX0000000052,Switzerland,115463,Offshore Transfer,1/3/13 3:00,Person_298,Construction,China,False,Legal,3.247811913160923,2,Bank_42,Cayman Islands
52,TX0000000053,Brazil,515486,Stocks Transfer,1/3/13 4:00,Person_3863,Construction,India,False,Illegal,6.530737988049366,2,Bank_49,Switzerland
53,TX0000000054,South Africa,58247,Cash Withdrawal,1/3/13 5:00,Person_9641,Arms Trade,Brazil,False,Legal,5.13448768744539,5,Bank_18,Singapore
54,TX0000000055,China,13686,Cryptocurrency,1/3/13 6:00,Person_892,Casinos,China,False,Legal,5.1104046929936136,7,Bank_174,Panama
55,TX0000000056,Brazil,238268,Cash Withdrawal,1/3/13 7:00,Person_8609,Oil & Gas,Singapore,False,Legal,3.0005642919625886,0,Bank_340,Singapore
56,TX0000000057,USA,166684,Cryptocurrency,1/3/13 8:00,Person_592,Casinos,China,True,Legal,5.8574299739094515,9,Bank_63,Cayman Islands
57,TX0000000058,Russia,119393,Property Purchase,1/3/13 9:00,Person_1172,Luxury Goods,Singapore,True,Legal,5.278368633324674,6,Bank_3,Bahamas
58,TX0000000059,Brazil,300311,Property Purchase,1/3/13 10:00,Person_3900,Oil & Gas,UK,False,Legal,5.487511087902708,0,Bank_187,Bahamas
59,TX0000000060,South Africa,303231,Offshore Transfer,1/3/13 11:00,Person_1992,Arms Trade,Russia,False,Legal,5.400899933084995,2,Bank_110,Bahamas
60,TX0000000061,USA,29761,Property Purchase,1/3/13 12:00,Person_5231,Oil & Gas,Russia,True,Legal,5.568708798704563,6,Bank_479,Cayman Islands
61,TX0000000062,USA,349686,Cryptocurrency,1/3/13 13:00,Person_9220,Luxury Goods,UAE,False,Legal,5.298463387249159,9,Bank_418,Singapore
62,TX0000000063,USA,199369,Stocks Transfer,1/3/13 14:00,Person_6310,Real Estate,Russia,False,Legal,5.220818857666014,9,Bank_146,Bahamas
63,TX0000000064,South Africa,9717,Cash Withdrawal,1/3/13 15:00,Person_7570,Casinos,USA,False,Legal,5.361938549193798,5,Bank_337,Cayman Islands
64,TX0000000065,Singapore,85645,Property Purchase,1/3/13 16:00,Person_6019,Arms Trade,Russia,False,Legal,5.8245380628012855,4,Bank_154,Bahamas
65,TX0000000066,USA,47977,Cash Withdrawal,1/3/13 17:00,Person_9886,Finance,UK,False,Legal,4.593464408806408,3,Bank_296,Panama
66,TX0000000067,USA,44845,Offshore Transfer,1/3/13 18:00,Person_9544,Arms Trade,India,False,Legal,5.623535536505206,0,Bank_187,Bahamas
67,TX0000000068,Brazil,199042,Property Purchase,1/3/13 19:00,Person_1710,Real Estate,South Africa,False,Legal,5.087498475160268,4,Bank_18,Switzerland
68,TX0000000069,Russia,32816,Offshore Transfer,1/3/13 20:00,Person_9460,Oil & Gas,Russia,False,Legal,3.6670288471993793,7,Bank_491,Bahamas
69,TX0000000070,Brazil,1069012,Cryptocurrency,1/3/13 21:00,Person_5888,Luxury Goods,Switzerland,True,Legal,4.041455962508276,1,Bank_424,Singapore
70,TX0000000071,Switzerland,98726,Cash Withdrawal,1/3/13 22:00,Person_7747,Finance,South Africa,False,Legal,4.227969719143175,9,Bank_146,Cayman Islands
71,TX0000000072,Russia,69641,Offshore Transfer,1/3/13 23:00,Person_4245,Construction,Singapore,True,Legal,4.622686156301508,1,Bank_268,Bahamas
72,TX0000000073,South Africa,16927,Cryptocurrency,1/4/13 0:00,Person_3517,Oil & Gas,India,False,Legal,3.5223874596661733,6,Bank_362,Bahamas
73,TX0000000074,South Africa,91504,Property Purchase,1/4/13 1:00,Person_3557,Arms Trade,Russia,False,Legal,4.9259993459634615,6,Bank_15,Panama
74,TX0000000075,China,34307,Cash Withdrawal,1/4/13 2:00,Person_9513,Finance,Brazil,True,Legal,6.668923075617775,3,Bank_157,Switzerland
75,TX0000000076,UK,351030,Stocks Transfer,1/4/13 3:00,Person_2872,Finance,Brazil,False,Legal,5.448038586762232,1,Bank_15,Cayman Islands
76,TX0000000077,Switzerland,257403,Offshore Transfer,1/4/13 4:00,Person_5913,Finance,India,False,Legal,4.035309495916491,1,Bank_328,Panama
77,TX0000000078,Brazil,75347,Property Purchase,1/4/13 5:00,Person_981,Finance,South Africa,False,Legal,5.281804359200928,5,Bank_368,Switzerland
78,TX0000000079,Switzerland,17526,Cash Withdrawal,1/4/13 6:00,Person_7103,Finance,India,False,Legal,5.166283886262529,8,Bank_137,Bahamas
79,TX0000000080,India,730499,Offshore Transfer,1/4/13 7:00,Person_5722,Real Estate,UAE,False,Legal,6.5844047482734585,3,Bank_432,Cayman Islands
80,TX0000000081,UAE,184645,Cryptocurrency,1/4/13 8:00,Person_4157,Oil & Gas,UAE,False,Legal,3.989564402400677,7,Bank_237,Singapore
81,TX0000000082,UAE,109910,Stocks Transfer,1/4/13 9:00,Person_9236,Construction,UK,False,Legal,6.0703981810691605,2,Bank_226,Luxembourg
82,TX0000000083,UK,113796,Property Purchase,1/4/13 10:00,Person_508,Oil & Gas,Brazil,False,Illegal,6.092231467022795,0,Bank_180,Switzerland
83,TX0000000084,USA,451632,Cash Withdrawal,1/4/13 11:00,Person_2786,Finance,Switzerland,False,Legal,5.030088018802068,4,Bank_198,Singapore
84,TX0000000085,Brazil,80687,Stocks Transfer,1/4/13 12:00,Person_8997,Arms Trade,UK,False,Legal,5.157664006647113,6,Bank_320,Luxembourg
85,TX0000000086,Brazil,98455,Offshore Transfer,1/4/13 13:00,Person_69,Casinos,Switzerland,False,Legal,4.442669055709269,6,Bank_462,Panama
86,TX0000000087,Switzerland,12037,Offshore Transfer,1/4/13 14:00,Person_7486,Casinos,UK,False,Legal,5.1981476885433695,1,Bank_183,Cayman Islands
87,TX0000000088,South Africa,112667,Stocks Transfer,1/4/13 15:00,Person_4296,Oil & Gas,Brazil,False,Legal,6.327447190654397,6,Bank_404,Singapore
88,TX0000000089,India,250584,Stocks Transfer,1/4/13 16:00,Person_2439,Luxury Goods,Russia,False,Legal,7.099973007391936,1,Bank_380,Singapore
89,TX0000000090,USA,407379,Property Purchase,1/4/13 17:00,Person_173,Construction,USA,False,Illegal,6.095498543008649,7,Bank_195,Bahamas
90,TX0000000091,India,179557,Property Purchase,1/4/13 18:00,Person_2660,Casinos,Singapore,False,Legal,5.444225406243731,9,Bank_43,Panama
91,TX0000000092,Russia,399106,Cryptocurrency,1/4/13 19:00,Person_9354,Luxury Goods,Switzerland,False,Legal,5.698495963176315,0,Bank_87,Luxembourg
92,TX0000000093,India,24199,Offshore Transfer,1/4/13 20:00,Person_7169,Finance,UAE,True,Legal,4.596286456919798,9,Bank_262,Cayman Islands
93,TX0000000094,Brazil,76835,Cryptocurrency,1/4/13 21:00,Person_9009,Oil & Gas,India,False,Legal,4.648639843049738,8,Bank_283,Switzerland
94,TX0000000095,Russia,103199,Offshore Transfer,1/4/13 22:00,Person_9788,Oil & Gas,Russia,False,Legal,3.6269220601321193,2,Bank_352,Luxembourg
95,TX0000000096,USA,56291,Cash Withdrawal,1/4/13 23:00,Person_5611,Real Estate,Switzerland,False,Legal,6.275198708946586,5,Bank_272,Panama
96,TX0000000097,Russia,420510,Cryptocurrency,1/5/13 0:00,Person_4479,Luxury Goods,Switzerland,False,Legal,6.076911945818033,0,Bank_395,Cayman Islands
97,TX0000000098,Switzerland,545391,Stocks Transfer,1/5/13 1:00,Person_4435,Construction,India,False,Legal,3.8483386632781675,3,Bank_439,Switzerland
98,TX0000000099,China,114001,Offshore Transfer,1/5/13 2:00,Person_3189,Finance,India,True,Legal,5.006787681332931,3,Bank_493,Cayman Islands
99,TX0000000100,India,304423,Cryptocurrency,1/5/13 3:00,Person_2291,Finance,India,False,Legal,4.3237221920512345,7,Bank_288,Switzerland
100,TX0000000101,Russia,58295,Stocks Transfer,1/5/13 4:00,Person_2910,Arms Trade,South Africa,False,Legal,5.199342996928507,7,Bank_339,Luxembourg
101,TX0000000102,UK,868148,Offshore Transfer,1/5/13 5:00,Person_4769,Luxury Goods,USA,False,Legal,5.3657952285506845,9,Bank_24,Switzerland
102,TX0000000103,India,73525,Cash Withdrawal,1/5/13 6:00,Person_4542,Arms Trade,UAE,False,Legal,6.21691263701819,1,Bank_285,Switzerland
103,TX0000000104,China,105844,Cash Withdrawal,1/5/13 7:00,Person_3226,Casinos,India,False,Illegal,8.228387799027294,1,Bank_378,Bahamas
104,TX0000000105,Russia,275101,Cash Withdrawal,1/5/13 8:00,Person_4798,Construction,India,False,Legal,6.259310012995716,3,Bank_120,Luxembourg
105,TX0000000106,Russia,193204,Stocks Transfer,1/5/13 9:00,Person_4977,Oil & Gas,Russia,True,Legal,4.068407551293493,9,Bank_35,Switzerland
106,TX0000000107,China,43397,Cryptocurrency,1/5/13 10:00,Person_9717,Casinos,South Africa,True,Legal,5.785190175540663,2,Bank_411,Panama
107,TX0000000108,China,191350,Offshore Transfer,1/5/13 11:00,Person_5533,Construction,UK,False,Legal,5.5483968609535195,9,Bank_165,Panama
108,TX0000000109,South Africa,117128,Stocks Transfer,1/5/13 12:00,Person_661,Luxury Goods,USA,False,Illegal,6.7566331908954895,5,Bank_138,Panama
109,TX0000000110,Brazil,23325,Property Purchase,1/5/13 13:00,Person_4795,Real Estate,South Africa,True,Legal,5.170701193551584,9,Bank_160,Luxembourg
110,TX0000000111,China,37519,Stocks Transfer,1/5/13 14:00,Person_3072,Arms Trade,Russia,False,Legal,6.0193502333929025,8,Bank_490,Luxembourg
111,TX0000000112,UAE,17248,Offshore Transfer,1/5/13 15:00,Person_2911,Construction,Singapore,True,Legal,3.285919306820467,9,Bank_60,Luxembourg
112,TX0000000113,Brazil,67451,Offshore Transfer,1/5/13 16:00,Person_2000,Construction,Switzerland,False,Legal,5.433474122718934,1,Bank_409,Switzerland
113,TX0000000114,Switzerland,109133,Property Purchase,1/5/13 17:00,Person_4923,Arms Trade,India,False,Legal,5.130151918032223,8,Bank_401,Luxembourg
114,TX0000000115,South Africa,246870,Property Purchase,1/5/13 18:00,Person_6663,Construction,South Africa,False,Legal,5.382247785428016,5,Bank_173,Luxembourg
115,TX0000000116,India,281247,Cash Withdrawal,1/5/13 19:00,Person_1230,Finance,UK,True,Legal,6.109265537523738,8,Bank_264,Switzerland
116,TX0000000117,China,56094,Offshore Transfer,1/5/13 20:00,Person_5656,Finance,USA,False,Legal,6.325733882980601,2,Bank_213,Singapore
117,TX0000000118,Singapore,38859,Offshore Transfer,1/5/13 21:00,Person_9769,Real Estate,USA,False,Legal,5.202319961632889,1,Bank_422,Bahamas
118,TX0000000119,Switzerland,33367,Stocks Transfer,1/5/13 22:00,Person_5905,Arms Trade,Brazil,False,Legal,5.107162901370662,6,Bank_258,Bahamas
119,TX0000000120,China,63694,Cryptocurrency,1/5/13 23:00,Person_8383,Real Estate,USA,False,Legal,4.192060207994185,6,Bank_356,Singapore
120,TX0000000121,Brazil,276197,Property Purchase,1/6/13 0:00,Person_1145,Finance,Switzerland,False,Illegal,7.548904072712704,3,Bank_467,Luxembourg
121,TX0000000122,UAE,73772,Cash Withdrawal,1/6/13 1:00,Person_5295,Luxury Goods,UK,False,Legal,5.658174167812578,4,Bank_100,Switzerland
122,TX0000000123,USA,96920,Property Purchase,1/6/13 2:00,Person_7378,Real Estate,USA,True,Legal,4.801401421359754,7,Bank_459,Singapore
123,TX0000000124,UAE,184940,Stocks Transfer,1/6/13 3:00,Person_7432,Construction,India,False,Legal,4.987492084127774,9,Bank_216,Switzerland
124,TX0000000125,USA,164067,Property Purchase,1/6/13 4:00,Person_8881,Finance,India,False,Legal,5.296952296172376,0,Bank_80,Bahamas
125,TX0000000126,UK,230046,Stocks Transfer,1/6/13 5:00,Person_8385,Real Estate,Singapore,True,Legal,5.732264144377398,7,Bank_234,Luxembourg
126,TX0000000127,Switzerland,257386,Cash Withdrawal,1/6/13 6:00,Person_239,Oil & Gas,Brazil,False,Legal,5.197540641250384,0,Bank_26,Switzerland
127,TX0000000128,China,86039,Offshore Transfer,1/6/13 7:00,Person_2175,Finance,Russia,False,Illegal,6.474042401751991,4,Bank_74,Bahamas
128,TX0000000129,India,73732,Property Purchase,1/6/13 8:00,Person_3364,Real Estate,USA,False,Legal,5.9339838282109785,9,Bank_124,Cayman Islands
129,TX0000000130,Russia,132651,Property Purchase,1/6/13 9:00,Person_5865,Luxury Goods,Singapore,False,Legal,4.64409373412971,5,Bank_232,Panama
130,TX0000000131,Singapore,55447,Property Purchase,1/6/13 10:00,Person_5801,Construction,Russia,True,Legal,4.5759244287670375,1,Bank_95,Panama
131,TX0000000132,Singapore,41293,Property Purchase,1/6/13 11:00,Person_206,Arms Trade,USA,False,Illegal,7.755842050587219,4,Bank_495,Bahamas
132,TX0000000133,South Africa,123872,Offshore Transfer,1/6/13 12:00,Person_3663,Finance,China,False,Legal,4.93594128029116,6,Bank_391,Panama
133,TX0000000134,Singapore,128748,Property Purchase,1/6/13 13:00,Person_3060,Construction,UAE,False,Legal,4.614857314854229,9,Bank_442,Cayman Islands
134,TX0000000135,UAE,58672,Cryptocurrency,1/6/13 14:00,Person_1053,Construction,China,False,Legal,4.631214003705793,5,Bank_285,Luxembourg
135,TX0000000136,China,51807,Offshore Transfer,1/6/13 15:00,Person_803,Casinos,China,True,Legal,3.3307572367999905,0,Bank_45,Singapore
136,TX0000000137,China,102325,Stocks Transfer,1/6/13 16:00,Person_1488,Finance,UK,False,Legal,4.9090860961187355,6,Bank_242,Switzerland
137,TX0000000138,China,27342,Stocks Transfer,1/6/13 17:00,Person_5997,Construction,USA,False,Legal,3.394002103534905,0,Bank_148,Luxembourg
138,TX0000000139,Singapore,76802,Cash Withdrawal,1/6/13 18:00,Person_7018,Luxury Goods,UAE,False,Legal,5.632543165414456,6,Bank_147,Luxembourg
139,TX0000000140,UAE,346698,Offshore Transfer,1/6/13 19:00,Person_4929,Oil & Gas,Switzerland,True,Legal,5.48084138733512,6,Bank_126,Singapore
140,TX0000000141,Russia,56237,Property Purchase,1/6/13 20:00,Person_9163,Casinos,Russia,False,Legal,5.611327616740786,1,Bank_101,Cayman Islands
141,TX0000000142,UAE,77654,Stocks Transfer,1/6/13 21:00,Person_4942,Real Estate,Brazil,False,Legal,4.322215609880383,0,Bank_244,Panama
142,TX0000000143,Russia,227672,Stocks Transfer,1/6/13 22:00,Person_2712,Real Estate,UK,False,Legal,7.253397607821739,4,Bank_244,Switzerland
143,TX0000000144,South Africa,167251,Cash Withdrawal,1/6/13 23:00,Person_6013,Finance,UK,False,Legal,4.753506061798762,8,Bank_116,Switzerland
144,TX0000000145,South Africa,51669,Cash Withdrawal,1/7/13 0:00,Person_5803,Casinos,UK,False,Legal,4.574868776357396,8,Bank_57,Panama
145,TX0000000146,India,38295,Cash Withdrawal,1/7/13 1:00,Person_4283,Finance,UAE,False,Legal,5.0385422705582394,2,Bank_123,Luxembourg
146,TX0000000147,India,42258,Cash Withdrawal,1/7/13 2:00,Person_3803,Construction,Switzerland,False,Legal,4.786703410061781,1,Bank_276,Bahamas
147,TX0000000148,India,53198,Cash Withdrawal,1/7/13 3:00,Person_5397,Finance,India,False,Legal,4.701759916881362,9,Bank_13,Singapore
148,TX0000000149,UK,362055,Cryptocurrency,1/7/13 4:00,Person_9023,Construction,Singapore,False,Legal,5.608965975925717,0,Bank_82,Luxembourg
149,TX0000000150,USA,2066,Cash Withdrawal,1/7/13 5:00,Person_4019,Real Estate,Singapore,False,Legal,6.312394525316163,3,Bank_36,Singapore
150,TX0000000151,UK,62786,Cryptocurrency,1/7/13 6:00,Person_555,Casinos,India,False,Legal,6.681221396693865,1,Bank_417,Singapore
151,TX0000000152,UAE,231542,Cash Withdrawal,1/7/13 7:00,Person_9297,Construction,Singapore,False,Legal,5.823487800614423,2,Bank_50,Panama
152,TX0000000153,South Africa,60712,Property Purchase,1/7/13 8:00,Person_3690,Real Estate,Singapore,False,Legal,3.0490760897846183,6,Bank_10,Singapore
153,TX0000000154,China,148593,Property Purchase,1/7/13 9:00,Person_1354,Real Estate,Brazil,False,Legal,4.201511024331833,1,Bank_297,Cayman Islands
154,TX0000000155,China,28470,Stocks Transfer,1/7/13 10:00,Person_2600,Finance,South Africa,False,Legal,5.4154815748752805,3,Bank_80,Singapore
155,TX0000000156,Russia,95746,Stocks Transfer,1/7/13 11:00,Person_226,Luxury Goods,Singapore,False,Legal,5.589617981832615,1,Bank_402,Cayman Islands
156,TX0000000157,Switzerland,231614,Stocks Transfer,1/7/13 12:00,Person_6505,Real Estate,USA,False,Illegal,7.2740241201333085,1,Bank_298,Cayman Islands
157,TX0000000158,Switzerland,173697,Cash Withdrawal,1/7/13 13:00,Person_3320,Arms Trade,India,False,Legal,4.658632289565648,6,Bank_427,Panama
158,TX0000000159,USA,65306,Stocks Transfer,1/7/13 14:00,Person_2341,Real Estate,USA,False,Legal,3.4451387290050954,9,Bank_252,Switzerland
159,TX0000000160,China,122117,Property Purchase,1/7/13 15:00,Person_5022,Arms Trade,USA,True,Legal,3.5996895968993305,5,Bank_496,Switzerland
160,TX0000000161,Russia,195872,Property Purchase,1/7/13 16:00,Person_3531,Luxury Goods,UAE,False,Legal,6.216060042792418,9,Bank_88,Bahamas
161,TX0000000162,Russia,36820,Cash Withdrawal,1/7/13 17:00,Person_2686,Real Estate,South Africa,False,Legal,4.100068840007115,3,Bank_323,Cayman Islands
162,TX0000000163,Switzerland,377336,Property Purchase,1/7/13 18:00,Person_3815,Finance,UK,True,Legal,5.785070822116044,3,Bank_365,Cayman Islands
163,TX0000000164,UK,196892,Offshore Transfer,1/7/13 19:00,Person_881,Oil & Gas,USA,True,Legal,4.606663643959561,7,Bank_216,Singapore
164,TX0000000165,China,46263,Property Purchase,1/7/13 20:00,Person_2334,Real Estate,Brazil,False,Legal,4.940588070968266,3,Bank_290,Bahamas
165,TX0000000166,Singapore,513491,Offshore Transfer,1/7/13 21:00,Person_6948,Oil & Gas,USA,False,Legal,4.822628864315228,0,Bank_22,Luxembourg
166,TX0000000167,Switzerland,141536,Cryptocurrency,1/7/13 22:00,Person_736,Oil & Gas,South Africa,False,Legal,3.9059917112412696,0,Bank_247,Panama
167,TX0000000168,Switzerland,107513,Cryptocurrency,1/7/13 23:00,Person_7565,Arms Trade,South Africa,False,Legal,6.001560328799881,6,Bank_67,Luxembourg
168,TX0000000169,South Africa,490655,Cash Withdrawal,1/8/13 0:00,Person_4324,Oil & Gas,Russia,False,Legal,3.960131683401136,0,Bank_339,Cayman Islands
169,TX0000000170,India,261949,Stocks Transfer,1/8/13 1:00,Person_8641,Luxury Goods,Brazil,False,Legal,4.997784435037505,9,Bank_466,Luxembourg
170,TX0000000171,China,9986,Cash Withdrawal,1/8/13 2:00,Person_2480,Finance,UK,False,Legal,4.150675469798118,1,Bank_94,Switzerland
171,TX0000000172,UAE,24841,Cryptocurrency,1/8/13 3:00,Person_2642,Arms Trade,USA,False,Legal,4.63530984938549,5,Bank_245,Luxembourg
172,TX0000000173,South Africa,249360,Cash Withdrawal,1/8/13 4:00,Person_8068,Oil & Gas,Russia,False,Legal,4.409821310846643,9,Bank_23,Switzerland
173,TX0000000174,Singapore,11971,Cryptocurrency,1/8/13 5:00,Person_7224,Real Estate,UAE,False,Legal,5.429453554754784,1,Bank_326,Switzerland
174,TX0000000175,South Africa,72704,Offshore Transfer,1/8/13 6:00,Person_9862,Oil & Gas,China,False,Legal,5.548921255677624,9,Bank_266,Luxembourg
